id,Agent,Group
803,Condensat de diéthanolamine d'huile de noix de coco,2B
804,Didanosine,3
805,N'-nitrosoanatabine (NAT),3
806,"1,3-Dinitropyrène",2B
807,IQ (2-amino-3-méthylimidazo [4.5-f] quinoléine),2A
808,"MeIQ (2-amino-3,4-diméthylimidazo [4,5-f] quinoléine)",2B
809,3-Chloro-4- (dichlorométhyl) -5-hydroxy-2 (5H) -furanone,2B
810,MeIQx (2-Amino-3.8-diméthylimidazo [4.5-f] quinoxaline),2B
811,Droloxifène,3
812,Bromochloroacétonitrile,3
813,3- (N-nitrosométhylamino) propionaldéhyde,3
814,Pyrido [3.4-c] psoralène,3
815,7-méthylpyrido [3.4-c] psoralène,3
816,Ptaquiloside,3
817,Torémifène,3
818,Extrait de Ginkgo biloba,2B
819,N-méthylolacrylamide,3
820,Microcystine-LR,2B
821,PhIP (2-amino-1-méthyl-6-phénylimidazo [4.5-b] pyridine),2B
822,"3,7-dinitrofluoranthène",2B
823,Pioglitazone,2A
824,Naphtho [1.2-b] fluoranthène,3
825,Fumonisine B <sub> 1 </ sub>,2B
826,Fusarium moniliforme. les toxines dérivées de (fumonisine B <sub> 1 </ sub> .fumonisine B <sub> 2 </ sub> .et de fusarine C),2B
827,Nodularines,3
828,Rosiglitazone,3
829,Nanotubes de carbone. MWCNT-7 à parois multiples,2B
830,Nanotubes de carbone. multi-parois. autre que MWCNT-7,3
831,Nanotubes de carbone. à simple paroi,3
832,Nanotubes de carbone à parois multiples MWCNT-7,2B
833,Nanotubes de carbone à parois multiples autres que le MWCNT-7,3
834,Nanotubes de carbone à simple paroi,3
835,Carbure de silicium. fibreux,2B
836,Les moustaches de carbure de silicium,2A
837,Processus d'Acheson. exposition professionnelle associée à,1
838,Brouillards d'acide. fort inorganique,1
839,Fibres acryliques,3
840,Copolymères acrylonitrile-butadiène-styrène,3
841,Boissons alcoolisées,1
842,Aloe vera. extrait de feuilles entières,2B
843,Anesthésiques volatil,3
844,Stéroïdes androgènes (anabolisants),2A
845,Écrou Areca,1
846,Benzidine. colorants métabolisés en,1
847,Bisulfites,3
848,Bracken fougère,2B
849,Eau potable chlorée,3
850,Paraffines chlorées de longueur moyenne de chaîne carbonée C12 et degré moyen de chloration d'environ 60%,2B
851,Chlorophénols (voir Polychlorophénols),unknown
852,Herbicides chlorophénoxy,2B
853,Café (boire),3
854,Colorants métabolisés en benzidine,1
855,Amphibole fibroro-édénite,1
856,"Fusarium graminearum. F. culmorum. et F. crookwellense. toxines dérivées de (zéaralénone, deoxynivalénol, nivalénol et fusarénone X)",3
857,Fusarium sporotrichioides. toxines dérivées de (toxine T-2),3
858,Goldenseal poudre de racine,2B
859,Hexachlorocyclohexanes,2B
860,Sels d'hypochlorite,3
861,Huiles d'isopropyle,3
862,Racine de garance (Rubia tinctorum),3
863,Camarade. pas très chaud (boire),3
864,Métabisulfites,3
865,Composés de méthylmercure,2B
866,Extraits de microcystis,3
867,Huiles minérales très raffiné,3
868,Huiles minérales non traité ou légèrement traité,1
869,Fibres modacryliques,3
870,Nitrate ou nitrite (ingéré) dans des conditions entraînant une nitrosation endogène,2A
871,Matériaux polymères organiques,3
872,Phénacétine. mélanges analgésiques contenant,1
873,Légumes marinés (asiatique traditionnelle),2B
874,Biphényles polychlorés. semblable à la dioxine. avec un facteur d'équivalence de toxicité (TEF) selon l'OMS (PCB 77. 81. 105. 114. 118. 123. 126. 156. 157. 167. 169. 189),1
875,Dibenzofuranes polychlorés (voir 2.3.4.7.8-Pentachlorodibenzofurane),3
876,Dibenzo-para-dioxines polychlorées (autres que 2.3.7.8-tétrachlorodibenzo-para-dioxine),3
877,Viande transformée (consommation de),1
878,Sels de proflavine,3
879,Progestatifs,2B
880,Viande rouge (consommation de),2A
881,Fibres céramiques réfractaires,2B
882,Industrie de fabrication de caoutchouc,1
883,Poisson salé. Style chinois,1
884,Fibres spéciales telles que le verre E et les fibres de verre «475»,2B
885,Sulfites,3
886,thé,3
887,Les sels de tétrakis (hydroxyméthyl) phosphonium,3
888,Toxines dérivées de certaines espèces de Fusarium,2B
889,Uréthane,2A
